클러스터별 평균 상관계수:
Cluster 2: 0.8686
Cluster 6: 0.8773
Cluster 0: 0.8784
Cluster 4: 0.8925
Cluster 3: 0.9012
Cluster 7: 0.9017

enbid_pci,cluster,accuracy,category
35943_356,2,0.8745153564119319,매우 좋음
35707_186,2,0.8765224803599461,매우 좋음
37108_301,2,0.8768926112214296,매우 좋음
37066_305,2,0.8790897997504098,매우 좋음
35300_250,2,0.8795443867290385,매우 좋음
46384_113,2,0.879954514944842,매우 좋음
37052_202,2,0.8822681936305822,매우 좋음
34760_87,2,0.8824171716126957,매우 좋음
37066_287,2,0.8842811100206857,매우 좋음
40438_142,2,0.8849391771181971,매우 좋음
37104_225,2,0.887868016158078,매우 좋음
37115_40,2,0.8922466887262239,매우 좋음
60193_156,2,0.8938571275620644,매우 좋음
37097_183,2,0.8943400771758255,매우 좋음
42922_28,2,0.8950114070937407,매우 좋음
36135_251,2,0.8957061469257028,매우 좋음
40155_311,2,0.8965551569719076,매우 좋음
35694_190,2,0.8992721450036243,매우 좋음
35692_49,2,0.9001903867798939,매우 좋음
36481_59,2,0.9002660651314773,매우 좋음
34342_179,2,0.9016678529923534,매우 좋음
34472_235,2,0.9022812622728836,매우 좋음
35920_476,2,0.902692838950492,매우 좋음
35540_11,2,0.9040189043305147,매우 좋음
33907_20,2,0.9085017614829591,매우 좋음
34761_117,2,0.9090859799745745,매우 좋음
36153_284,2,0.9104715910163772,매우 좋음
36153_293,2,0.9112241846583552,매우 좋음
36135_268,2,0.9132744955020036,매우 좋음
34484_101,2,0.9136398858267354,매우 좋음
34484_305,2,0.9154406822644696,매우 좋음
34335_328,2,0.9168220451417113,매우 좋음
34560_293,2,0.9178974639469518,매우 좋음
37099_287,2,0.9195137230928341,매우 좋음
46384_112,2,0.9196846439881132,매우 좋음
37107_14,2,0.9200377767219998,매우 좋음
41937_405,2,0.9207772367275961,매우 좋음
34764_76,2,0.9215929927304802,매우 좋음
37081_115,2,0.9221028077671063,매우 좋음
34802_404,2,0.9232025221691547,매우 좋음
34553_110,2,0.9234280391808498,매우 좋음
34336_317,2,0.9235739203654132,매우 좋음
34485_15,2,0.9243035344740201,매우 좋음
60193_52,2,0.9258144914317172,매우 좋음
34791_415,2,0.9262545470906531,매우 좋음
34490_95,2,0.9283769766001057,매우 좋음
37092_191,2,0.9287102964003107,매우 좋음
41937_119,2,0.9314676620776463,매우 좋음
